Id | Opportunity ID | id
IsDeleted | Deleted | boolean
AccountId | Account ID | reference
Name | Name | string
Description | Description | textarea
StageName | Stage | picklist
Amount | Amount | currency
Probability | Probability (%) | percent
CloseDate | Close Date | date
Type | Opportunity Type | picklist
NextStep | Next Step | string
LeadSource | Lead Source | picklist
IsClosed | Closed | boolean
IsWon | Won | boolean
ForecastCategory | Forecast Category | picklist
ForecastCategoryName | Forecast Category | picklist
CurrencyIsoCode | Opportunity Currency | picklist
CampaignId | Campaign ID | reference
HasOpportunityLineItem | Has Line Item | boolean
IsSplit | Is Split | boolean
Pricebook2Id | Price Book ID | reference
OwnerId | Owner ID | reference
Territory2Id | Territory ID | reference
IsExcludedFromTerritory2Filter | Exclude from the territory assignment filter logic | boolean
CreatedDate | Created Date | datetime
CreatedById | Created By ID | reference
LastModifiedDate | Last Modified Date | datetime
LastModifiedById | Last Modified By ID | reference
SystemModstamp | System Modstamp | datetime
LastActivityDate | Last Activity | date
PushCount | Push Count | int
LastStageChangeDate | Last Stage Change Date | datetime
ContactId | Contact ID | reference
LastViewedDate | Last Viewed Date | datetime
LastReferencedDate | Last Referenced Date | datetime
PartnerAccountId | Partner Account ID | reference
SyncedQuoteId | Quote ID | reference
ContractId | Contract ID | reference
HasOpenActivity | Has Open Activity | boolean
HasOverdueTask | Has Overdue Task | boolean
LastAmountChangedHistoryId | Opportunity History ID | reference
LastCloseDateChangedHistoryId | Opportunity History ID | reference
Budget_Confirmed__c | Budget Confirmed | boolean
Discovery_Completed__c | Discovery Completed | boolean
ROI_Analysis_Completed__c | ROI Analysis Completed | boolean
Send_me_a_Next_Steps_Reminder__c | Send me a Next Steps Reminder | boolean
Lost_Reason__c | Lost Reason | picklist
Lead_Source_Sub_Detail__c | Lead Source Sub Detail | string
Lost_Reason_Description__c | Lost Reason Description | textarea
Payment_Terms__c | Payment Terms | picklist
Payment_Terms_Detail__c | Payment Terms Detail | textarea
Billing_Terms__c | Billing Terms | picklist
Billing_Terms_Detail__c | Billing Terms Detail | textarea
Partner__c | Primary Partner | reference
Contract_Effective_Date__c | Contract Effective Date | date
Contract_End_Date__c | Contract End Date | date
Renewal_Terms__c | Renewal Terms | picklist
Term_for_Convenience__c | Term for Convenience | picklist
Partner_Source_Influence__c | Primary Partner Deal  Type | picklist
Type_Detail__c | Type Detail | picklist
Stage_Detail__c | Stage Detail | picklist
Commissionable_SDR__c | Commissionable BDR | reference
Owner_Manager__c | Owner Manager | reference
ARR__c | Net New Annual Recurring Revenue (ARR) | currency
NRR__c | Non-Recurring Revenue | currency
Perpetual_Revenue__c | Perpetual Revenue | currency
ABC_Forecast__c | ABC Forecast | picklist
ARR_ABC_Weighted__c | ARR (ABC Weighted) | double
NRR_ABC_Weighted__c | NRR (ABC Weighted) | double
Perpetual_ABC_Weighted__c | Perpetual (ABC Weighted) | double
Perpetual_Stage_Weighted__c | Perpetual (Stage Weighted) | double
ARR_Stage_Weighted__c | ARR (Stage Weighted) | double
NRR_Stage_Weighted__c | NRR (Stage Weighted) | double
Perpetual_License_Approval__c | Perpetual License Approval | picklist
Term_Years_Calculated__c | Term (Years Calculated) | double
Previous_Opportunity__c | Previous Opportunity | reference
Next_Opportunity__c | Next Opportunity | reference
Opportunity_is_Active__c | Contract is Active | picklist
Opportunity_Locked__c | Opportunity Locked | boolean
TCV__c | Net New Total Contract Value (TCV) | currency
Previous_Opportunity_Stage__c | Previous Opportunity Stage | string
Date_Entering_Current_Stage__c | Date Entering Current Stage | date
Discovery_Stage_Converted__c | Discovery Stage Converted | boolean
Demo_Stage_Converted__c | Assessment Stage Converted | boolean
Solution_Validation_Stage_Converted__c | Solution Validation Stage Converted | boolean
In_Evaluation_POV_Stage_Converted__c | Business Case Stage Converted | boolean
Post_POV_Stage_Converted__c | Close Plan Stage Converted | boolean
Negotiation_on_Pricing_Stage_Converted__c | Contracts Stage Converted | boolean
Decision_Rendered_Stage_Converted__c | Submitted to Finance Stage Converted | boolean
Current_Stage_Number__c | Current Stage Number | double
Previous_Opportunity_Stage_Number__c | Previous Opportunity Stage Number | double
ADMIN_Immediate_Workflow_DateTime__c | ADMIN Immediate Workflow DateTime | datetime
Custom_Opportunity_ID__c | Custom Opportunity ID | string
SQL_d_Contact__c | SAL'd Contact | reference
Contact_is_SQL_d__c | Contact is SQL'd | boolean
Terminated_Reason__c | Terminated Reason | textarea
Next_Steps_Date__c | Next Steps Date | date
Amount_Hubspot_Temp_Field__c | Amount (Hubspot Temp Field) | double
Hubspot_Associated_Company_ID__c | Hubspot Associated Company ID | string
SQL_d_Contact_Admin_Override__c | Qualification Admin Override | boolean
Hubspot_Opportunity_Owner_Text__c | Hubspot Opportunity Owner (Text) | string
License_Type_Hubspot_Temp_Field__c | License Type (Hubspot Temp Field) | string
Lead_Source_Type__c | Lead Source Type | string
Users_Hubspot_Temp_Field__c | Users (Hubspot Temp Field) | double
Hubspot_Deal_ID__c | Hubspot Deal ID | string
Amount_Stage_Weighted__c | Amount (Stage Weighted) | double
